actual_pitchers,date,game,homered,hr_count,player,sheet_barrel_pct,sheet_called,sheet_ev,sheet_hr_env,sheet_iso,sheet_note,sheet_pa_pct,sheet_pitcher_split_barrel,sheet_pitcher_split_hr,sheet_pm_hr,sheet_pm_pa,team
,2026-08-09,ATL@NYY,no,0,Ben Rice,29.0,yes,95,20,0.461,Yankee weather + elite sheet power vs Holmes LHH split,0,8.3,12,11,89,NYY
Cam Schlittler,2026-08-09,ATL@NYY,yes,1,Matt Olson,21.6,yes,96,20,0.380,Yankee weather + elite LHH sheet power,25,4.9,7,10,100,ATL
,2026-08-09,ATL@NYY,no,0,Jazz Chisholm Jr.,12.7,yes,90,20,0.205,Weather and LHH split help; hitter signal below Rice,50,8.3,12,7,112,NYY
Didier Fuentes,2026-08-09,ATL@NYY,yes,1,Trent Grisham,14.3,yes,93,20,0.210,Weather + EV but lower core than Rice,0,8.3,12,5,105,NYY
,2026-08-09,ATL@NYY,no,0,Ronald Acuna Jr.,15.9,yes,91,20,0.176,Weather helps; sheet ISO less loud than Olson,0,5.56,6,5,108,ATL
,2026-08-09,ATL@NYY,no,0,Austin Riley,12.4,yes,92,20,0.194,Weather helps; moderate RHH power,0,5.56,6,8,170,ATL
Shane Bieber; Shane Bieber,2026-08-09,TOR@PHI,yes,2,Kyle Schwarber,16.7,yes,97,39,0.274,Citizens Bank elite HR weather + LHH power vs Bieber split,37.5,9.86,3,10,117,PHI
,2026-08-09,TOR@PHI,no,0,Bryce Harper,15.1,yes,93,39,0.395,Citizens Bank elite HR weather + strong ISO/form profile,0,9.86,3,12,114,PHI
,2026-08-09,TOR@PHI,no,0,Kazuma Okamoto,16.1,yes,95,39,0.311,Top weather but opposing pitcher split is less ideal,0,4.34,11,4,45,TOR
,2026-08-09,TOR@PHI,no,0,Bryson Stott,10.1,yes,92,39,0.166,Weather help but softer HR profile,0,9.86,3,4,151,PHI
,2026-08-09,CHC@KC,no,0,Bobby Witt Jr.,17.8,yes,97,33,0.200,Kauffman top weather; elite EV and park fit,0,7.73,7,1,50,KC
,2026-08-09,CHC@KC,no,0,Jac Caglianone,16.0,yes,96,33,0.381,Kauffman weather + elite ISO/EV; sheet notes hot,0,6.06,1,4,42,KC
,2026-08-09,CHC@KC,no,0,Salvador Perez,18.6,yes,92,33,0.276,Kauffman weather + strong RHH sheet line,0,7.73,7,4,58,KC
,2026-08-09,CHC@KC,no,0,Luke Maile,33.3,yes,91,33,0.750,Tiny-sample weather dart only,0,7.73,7,1,4,KC
,2026-08-09,CHC@KC,no,0,Seiya Suzuki,10.9,yes,88,33,0.190,Kauffman boost but hitter-side sheet is modest,33.3,5.13,1,6,92,CHC
