player,team,opponent,game,sheet_barrel_pct,sheet_iso,sheet_ev,sheet_pm_hr,sheet_pm_pa,sheet_pa_pct,sheet_hr_env,sheet_pitcher_split_barrel,sheet_pitcher_split_hr,sheet_note
Jesus Sanchez,TOR,BOS,BOS@TOR,16.9,0.219,92,5,96,25,22,5.02,8,Rogers +22 HR; LHH sheet line vs Sonny Gray LHH split
Willson Contreras,BOS,TOR,BOS@TOR,10.8,0.173,91,4,110,0,22,10.46,12,Taillon extreme vulnerability; moderate RHH profile
Wilyer Abreu,BOS,TOR,BOS@TOR,12.8,0.18,90,8,183,0,22,11.39,14,Taillon LHH split target + Rogers boost
Jarren Duran,BOS,TOR,BOS@TOR,10.2,0.191,89,11,178,0,22,11.39,14,Taillon LHH split target; volume support but modest EV/barrel
Kazuma Okamoto,TOR,BOS,BOS@TOR,0,0,0,0,0,36.4,22,3.16,4,PA note only; park helps but no full sheet line
George Springer,TOR,BOS,BOS@TOR,0,0,0,0,0,0,22,3.16,4,EV note only
Vladimir Guerrero Jr.,TOR,BOS,BOS@TOR,0,0,0,0,0,0,22,3.16,4,EV note only
Matt Olson,ATL,NYM,NYM@ATL,22.7,0.398,96,11,103,37.5,3,3.3,6,Elite LHH power; weather only mild and possible delay
Michael Harris II,ATL,NYM,NYM@ATL,14.3,0.294,91,5,68,0,3,3.3,6,Good LHH sheet line; mild park
Drake Baldwin,ATL,NYM,NYM@ATL,16.4,0.177,93,4,79,0,3,3.3,6,Strong barrel/EV but ISO lower
Lane Thomas,ATL,NYM,NYM@ATL,13.3,0.21,92,3,62,25,3,4.17,1,Moderate RHH sheet line
Ronald Acuna Jr.,ATL,NYM,NYM@ATL,12.0,0.041,94,1,74,0,3,4.17,1,EV helps but ISO not HR-friendly today
Austin Riley,ATL,NYM,NYM@ATL,11.8,0.107,91,4,131,0,3,4.17,1,Volume but weak ISO
Francisco Alvarez,NYM,ATL,NYM@ATL,14.3,0.262,89,6,84,0,3,5.98,8,Good catcher power vs Elder RHH split
Luisangel Arias,NYM,ATL,NYM@ATL,10.5,0.269,94,2,26,0,3,5.98,8,Tiny-ish PM sample; EV/ISO support
Jett Williams,NYM,ATL,NYM@ATL,9.7,0.174,88,3,92,0,3,3.46,11,Moderate LHH line
Trevor Larnach,MIN,BAL,BAL@MIN,10.0,0.286,79,2,21,50,-4,2.56,1,PA% and ISO but EV/pitcher split concern
Kody Clemens,MIN,BAL,BAL@MIN,9.8,0.161,89,2,62,0,-4,2.56,1,Weak pitcher split; not core
Tyler ONeill,BAL,MIN,BAL@MIN,11.5,0.182,89,1,33,0,-4,4.84,5,Moderate profile
Jackson Holliday,BAL,MIN,BAL@MIN,13.0,0.227,89,4,75,0,-4,5.43,7,Best BAL full sheet line but park neutral-negative
Colton Cowser,BAL,MIN,BAL@MIN,11.7,0.101,85,2,89,0,-4,5.43,7,EV/ISO weak despite recent HR note
Alec Burleson,STL,PHI,PHI@STL,18.3,0.244,94,8,123,27.3,6,6.35,9,"Strong LHH sheet, Busch heat/wind, Painter LHH split"
Jordan Walker,STL,PHI,PHI@STL,10.9,0.144,91,9,264,0,6,7.62,6,Volume support but ISO modest
Everson Pereira,STL,PHI,PHI@STL,14.3,0.333,87,3,36,0,6,7.62,6,ISO/barrel support but EV concern
Bryce Harper,PHI,STL,PHI@STL,16.5,0.424,93,13,118,0,6,4.88,2,Elite hitter/sheet power; pitcher split less targetable
Kyle Schwarber,PHI,STL,PHI@STL,14.1,0.216,94,9,139,25,6,4.88,2,Power volume; less clean pitcher split than Harper
Derek Hill,PHI,STL,PHI@STL,11.8,0.097,85,1,31,40,6,2.9,4,PA% only; weak HR profile
Max Muncy,LAD,KC,KC@LAD,19.2,0.333,92,4,39,57.1,19,8.85,4,Dodger +19; elite sheet line vs Cameron LHH split
Enrique Hernandez,LAD,KC,KC@LAD,11.1,0.273,89,1,11,0,19,5.34,10,Tiny sample; park helps but not core parlay leg
Kyle Tucker,LAD,KC,KC@LAD,11.1,0.152,90,1,66,30.8,19,8.85,4,Park/split help but hitter sheet not loud
Junior Caminero,TB,ATH,TB@ATH,0,0,0,0,0,0,37,0,0,Ballpark Pal top hitter 27.9%; best park/weather on slate
Generic TB/ATH Sheet Target,TB,ATH,TB@ATH,0,0,0,0,0,0,37,0,0,Placeholder: Sutter Health +37 HR and 2.57 total; use engine/live lineup for exact names
