hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,public_attention,odds
663330,Jahmai Jones,BOS,NYY,2026-08-29T23:15:00Z,Pre-Game,1,Max Fried,608331,L,R,11.02,0.1937,91.36,102.4875,0.4609,0.2038,0.3528,73.39,34.65,49.13,25.82,48.49,4.9,3.33,33.07,86.5,0.2919,0.0823,21.69,5.6,5.6,5.6,Yankee Stadium,119,80,3,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,49,7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,7,0,"Last 7 games: 2/7, 0 HR","platoon edge; pitcher baseline 3.3% barrel, 5.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
678882,Ceddanne Rafaela,BOS,NYY,2026-08-29T23:15:00Z,Pre-Game,2,Max Fried,608331,L,R,6.61,0.1671,86.97,97.7812,0.3775,0.1306,0.2903,70.02,8.69,35.29,25.58,34.22,16.0,3.33,33.07,86.5,0.2919,0.0823,21.69,5.6,5.6,5.6,Yankee Stadium,119,80,3,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,49,7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,0,"Last 7 games: 9/30, 0 HR","platoon edge; pitcher baseline 3.3% barrel, 5.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
677800,Wilyer Abreu,BOS,NYY,2026-08-29T23:15:00Z,Pre-Game,3,Max Fried,608331,L,L,12.51,0.2122,90.17,101.4406,0.4792,0.2264,0.3476,73.89,38.73,38.81,36.82,44.41,22.0,3.33,33.07,86.5,0.2919,0.0823,21.69,5.6,5.6,5.6,Yankee Stadium,119,80,3,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,49,7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,29,1,"Last 7 games: 4/29, 1 HR","same-side matchup; pitcher baseline 3.3% barrel, 5.6 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,,
575929,Willson Contreras,BOS,NYY,2026-08-29T23:15:00Z,Pre-Game,4,Max Fried,608331,L,R,13.76,0.2271,90.04,102.7522,0.4887,0.2324,0.3706,76.77,68.66,45.82,29.05,45.5,24.2,3.33,33.07,86.5,0.2919,0.0823,21.69,5.6,5.6,5.6,Yankee Stadium,119,80,3,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,49,7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,1,"Last 7 games: 4/28, 1 HR","platoon edge; pitcher baseline 3.3% barrel, 5.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
702332,Caleb Durbin,BOS,NYY,2026-08-29T23:15:00Z,Pre-Game,5,Max Fried,608331,L,R,3.09,0.138,84.08,95.5924,0.3333,0.0909,0.2952,68.88,5.16,40.18,20.03,26.06,11.7,3.33,33.07,86.5,0.2919,0.0823,21.69,5.6,5.6,5.6,Yankee Stadium,119,80,3,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,49,7,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,0,"Last 7 games: 6/21, 0 HR","platoon edge; pitcher baseline 3.3% barrel, 5.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
655316,Andruw Monasterio,BOS,NYY,2026-08-29T23:15:00Z,Pre-Game,6,Max Fried,608331,L,R,6.56,0.1586,87.63,97.3842,0.3707,0.1355,0.2947,69.24,3.5,39.85,31.34,32.93,5.4,3.33,33.07,86.5,0.2919,0.0823,21.69,5.6,5.6,5.6,Yankee Stadium,119,80,3,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,49,7,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","platoon edge; pitcher baseline 3.3% barrel, 5.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
686765,Nick Sogard,BOS,NYY,2026-08-29T23:15:00Z,Pre-Game,7,Max Fried,608331,L,S,5.39,0.1106,85.72,96.3053,0.3547,0.1093,0.3139,68.78,3.4,44.89,23.04,28.96,1.4,3.33,33.07,86.5,0.2919,0.0823,21.69,5.6,5.6,5.6,Yankee Stadium,119,80,3,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,49,7,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","switch hitter; pitcher baseline 3.3% barrel, 5.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
657136,Connor Wong,BOS,NYY,2026-08-29T23:15:00Z,Pre-Game,8,Max Fried,608331,L,R,4.5,0.104,86.13,98.9389,0.3293,0.1055,0.2863,72.72,27.19,41.22,22.72,35.06,2.8,3.33,33.07,86.5,0.2919,0.0823,21.69,5.6,5.6,5.6,Yankee Stadium,119,80,3,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,49,7,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","platoon edge; pitcher baseline 3.3% barrel, 5.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
642201,Eli White,BOS,NYY,2026-08-29T23:15:00Z,Pre-Game,9,Max Fried,608331,L,R,6.23,0.1524,86.16,98.3206,0.3426,0.1185,0.2708,72.76,26.84,36.61,24.01,32.21,6.5,3.33,33.07,86.5,0.2919,0.0823,21.69,5.6,5.6,5.6,Yankee Stadium,119,80,3,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,49,7,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,10,0,"Last 7 games: 2/10, 0 HR","platoon edge; pitcher baseline 3.3% barrel, 5.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
663757,Trent Grisham,NYY,BOS,2026-08-29T23:15:00Z,Pre-Game,1,Alec Gamboa,687941,L,L,11.05,0.2045,90.82,100.8587,0.4546,0.2073,0.3497,70.86,9.58,46.05,30.98,46.26,22.8,3.4,31.7,88.2,0.271,0.088,18.3,1.0,1.0,1.0,Yankee Stadium,119,80,3,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,49,7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,24,1,"Last 7 games: 2/24, 1 HR","same-side matchup; pitcher baseline 3.4% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
