hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,public_attention,odds
665487,Fernando Tatis Jr.,SD,AZ,2026-08-06T01:40:00Z,Pre-Game,1,Mitch Bratt,683352,L,R,10.58,0.1346,92.46,104.2761,0.4516,0.1708,0.3574,75.44,57.35,33.68,21.31,52.43,13.1,8.6,37.1,87.7,0.405,0.168,30.0,4.0,4.0,4.0,Chase Field,101,103,9,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,31,2,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,0,Contact streak: 9/27 over last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 4.0 HR allowed",EV profile; pitcher allows elevated contact,,
650859,Luis Rengifo,SD,AZ,2026-08-06T01:40:00Z,Pre-Game,2,Mitch Bratt,683352,L,S,4.44,0.0781,87.87,98.1275,0.3568,0.0996,0.3076,70.76,15.35,37.11,17.03,35.43,4.1,8.6,37.1,87.7,0.405,0.168,30.0,4.0,4.0,4.0,Chase Field,101,103,9,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,31,2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","switch hitter; pitcher baseline 8.6% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
592518,Manny Machado,SD,AZ,2026-08-06T01:40:00Z,Pre-Game,3,Mitch Bratt,683352,L,R,11.43,0.2067,91.29,101.9072,0.4495,0.203,0.3347,74.64,44.51,40.92,28.99,46.53,24.2,8.6,37.1,87.7,0.405,0.168,30.0,4.0,4.0,4.0,Chase Field,101,103,9,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,31,2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,0,"Last 7 games: 5/28, 0 HR","platoon edge; pitcher baseline 8.6% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
664034,Ty France,SD,AZ,2026-08-06T01:40:00Z,Pre-Game,4,Mitch Bratt,683352,L,R,10.01,0.1947,91.67,101.4652,0.439,0.1828,0.3315,71.7,18.76,36.15,24.27,48.61,13.3,8.6,37.1,87.7,0.405,0.168,30.0,4.0,4.0,4.0,Chase Field,101,103,9,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,31,2,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,0,Contact streak: 8/24 over last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
701538,Jackson Merrill,SD,AZ,2026-08-06T01:40:00Z,Pre-Game,5,Mitch Bratt,683352,L,L,11.32,0.1685,89.91,100.5032,0.4599,0.2025,0.3302,72.88,27.19,37.56,28.59,45.35,16.0,8.6,37.1,87.7,0.405,0.168,30.0,4.0,4.0,4.0,Chase Field,101,103,9,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,31,2,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,1,Contact streak: 9/27 over last 7 games,"same-side matchup; pitcher baseline 8.6% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
593428,Xander Bogaerts,SD,AZ,2026-08-06T01:40:00Z,Pre-Game,6,Mitch Bratt,683352,L,R,6.06,0.1091,88.58,99.8411,0.3822,0.1313,0.32,72.31,27.66,43.87,23.34,39.41,9.6,8.6,37.1,87.7,0.405,0.168,30.0,4.0,4.0,4.0,Chase Field,101,103,9,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,31,2,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,0,"Last 7 games: 7/23, 0 HR","platoon edge; pitcher baseline 8.6% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
669134,Luis Campusano,SD,AZ,2026-08-06T01:40:00Z,Pre-Game,7,Mitch Bratt,683352,L,R,5.46,0.14,87.87,99.166,0.3102,0.105,0.3025,72.54,25.72,48.03,18.47,39.94,2.8,8.6,37.1,87.7,0.405,0.168,30.0,4.0,4.0,4.0,Chase Field,101,103,9,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,31,2,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,0,Contact streak: 10/24 over last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
630105,Jake Cronenworth,SD,AZ,2026-08-06T01:40:00Z,Pre-Game,8,Mitch Bratt,683352,L,L,5.01,0.0869,87.87,98.2836,0.3397,0.1077,0.3036,71.46,17.81,32.24,20.2,34.17,5.4,8.6,37.1,87.7,0.405,0.168,30.0,4.0,4.0,4.0,Chase Field,101,103,9,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,31,2,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,30,0,"Last 7 games: 7/30, 0 HR","same-side matchup; pitcher baseline 8.6% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
687749,Jase Bowen,SD,AZ,2026-08-06T01:40:00Z,Pre-Game,9,Mitch Bratt,683352,L,R,12.2,0.073,87.9,99.7068,0.368,0.148,0.276,73.6,32.0,50.0,33.3,35.7,1.0,8.6,37.1,87.7,0.405,0.168,30.0,4.0,4.0,4.0,Chase Field,101,103,9,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,31,2,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,14,1,"Last 7 games: 3/14, 1 HR","platoon edge; pitcher baseline 8.6% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
663457,Lars Nootbaar,AZ,SD,2026-08-06T01:40:00Z,Pre-Game,1,Casey Mize,663554,R,L,9.43,0.1214,91.58,101.5669,0.4126,0.1753,0.3289,73.05,34.28,38.49,26.31,50.28,6.0,7.24,37.95,89.02,0.3644,0.1378,29.55,9.8,9.8,9.8,Chase Field,101,103,9,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,31,2,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,0,"Last 7 games: 4/23, 0 HR","platoon edge; pitcher baseline 7.2% barrel, 9.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
