hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,public_attention,odds
650490,Yandy Díaz,TB,LAD,2026-06-17T02:10:00Z,Warmup,1,Justin Wrobleski,680736,L,R,8.23,0.189,91.32,102.9973,0.4604,0.1733,0.3628,73.74,37.96,21.15,22.17,47.39,15.9,6.6,44.23,90.6,0.4094,0.1521,28.21,6.0,6.0,6.0,UNIQLO Field at Dodger Stadium,100,72,9,Out To RF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","platoon edge; pitcher baseline 6.6% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
596103,Austin Slater,TB,LAD,2026-06-17T02:10:00Z,Warmup,2,Justin Wrobleski,680736,L,R,6.09,0.0811,86.54,96.3195,0.3031,0.1072,0.2578,70.72,9.8,35.69,24.59,24.41,1.5,6.6,44.23,90.6,0.4094,0.1521,28.21,6.0,6.0,6.0,UNIQLO Field at Dodger Stadium,100,72,9,Out To RF,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,0,"Last 7 games: 5/22, 0 HR","platoon edge; pitcher baseline 6.6% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
666018,Jonathan Aranda,TB,LAD,2026-06-17T02:10:00Z,Warmup,3,Justin Wrobleski,680736,L,L,12.41,0.1744,91.53,101.5275,0.4877,0.2128,0.3771,70.36,13.42,31.38,30.27,48.62,11.9,6.6,44.23,90.6,0.4094,0.1521,28.21,6.0,6.0,6.0,UNIQLO Field at Dodger Stadium,100,72,9,Out To RF,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,0,Contact streak: 9/28 over last 7 games,"same-side matchup; pitcher baseline 6.6% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
691406,Junior Caminero,TB,LAD,2026-06-17T02:10:00Z,Warmup,4,Justin Wrobleski,680736,L,R,12.88,0.2332,92.68,105.1951,0.4779,0.2124,0.3572,79.48,86.98,42.86,22.02,50.42,24.0,6.6,44.23,90.6,0.4094,0.1521,28.21,6.0,6.0,6.0,UNIQLO Field at Dodger Stadium,100,72,9,Out To RF,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","platoon edge; pitcher baseline 6.6% barrel, 6.0 HR allowed",EV profile; pitcher fly-ball pressure modest,,
668723,Ryan Vilade,TB,LAD,2026-06-17T02:10:00Z,Warmup,5,Justin Wrobleski,680736,L,R,6.9,0.1246,91.56,101.9842,0.3858,0.1429,0.3125,75.52,53.97,22.05,24.96,48.75,2.8,6.6,44.23,90.6,0.4094,0.1521,28.21,6.0,6.0,6.0,UNIQLO Field at Dodger Stadium,100,72,9,Out To RF,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,1,Contact streak: 9/24 over last 7 games,"platoon edge; pitcher baseline 6.6% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
810938,Ben Williamson,TB,LAD,2026-06-17T02:10:00Z,Warmup,6,Justin Wrobleski,680736,L,R,2.18,0.0717,88.58,99.1823,0.3381,0.088,0.2935,69.84,12.31,26.85,15.65,38.19,1.0,6.6,44.23,90.6,0.4094,0.1521,28.21,6.0,6.0,6.0,UNIQLO Field at Dodger Stadium,100,72,9,Out To RF,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","platoon edge; pitcher baseline 6.6% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
802415,Chandler Simpson,TB,LAD,2026-06-17T02:10:00Z,Warmup,7,Justin Wrobleski,680736,L,L,0.0,0.0493,84.02,93.1274,0.2968,0.0382,0.2662,64.69,0.3,27.01,12.65,15.34,0.0,6.6,44.23,90.6,0.4094,0.1521,28.21,6.0,6.0,6.0,UNIQLO Field at Dodger Stadium,100,72,9,Out To RF,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,16,0,"Last 7 games: 2/16, 0 HR","same-side matchup; pitcher baseline 6.6% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
663743,Nick Fortes,TB,LAD,2026-06-17T02:10:00Z,Warmup,8,Justin Wrobleski,680736,L,R,2.36,0.0927,86.87,99.7575,0.3311,0.0902,0.2791,72.35,21.56,51.68,18.15,38.95,2.2,6.6,44.23,90.6,0.4094,0.1521,28.21,6.0,6.0,6.0,UNIQLO Field at Dodger Stadium,100,72,9,Out To RF,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,0,Contact streak: 8/23 over last 7 games,"platoon edge; pitcher baseline 6.6% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
670764,Taylor Walls,TB,LAD,2026-06-17T02:10:00Z,Warmup,9,Justin Wrobleski,680736,L,S,2.85,0.0752,84.27,94.3889,0.2495,0.0668,0.2484,67.96,2.27,32.8,31.36,19.68,1.2,6.6,44.23,90.6,0.4094,0.1521,28.21,6.0,6.0,6.0,UNIQLO Field at Dodger Stadium,100,72,9,Out To RF,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,0,"Last 7 games: 4/16, 0 HR","switch hitter; pitcher baseline 6.6% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
660271,Shohei Ohtani,LAD,TB,2026-06-17T02:10:00Z,Warmup,1,Drew Rasmussen,656876,R,L,18.88,0.2714,93.99,104.1655,0.5881,0.2987,0.4215,74.96,52.17,49.5,33.53,54.92,26.3,6.65,35.11,87.8,0.3533,0.1229,20.93,11.0,11.0,11.0,UNIQLO Field at Dodger Stadium,100,72,9,Out To RF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.7% barrel, 11.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,,
