hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,public_attention,odds
592626,Joc Pederson,TEX,MIA,2026-06-24T16:10:00Z,Scheduled,1,Eury Pérez,691587,R,L,9.64,0.1757,91.55,101.6065,0.4035,0.1649,0.3332,72.42,24.52,41.92,27.93,46.62,9.0,13.2,43.7,89.52,0.4318,0.2085,32.13,11.3,11.3,11.3,loanDepot park,89,84,2,180 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=25.7781&lon=-80.2197,75,3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,1,"Last 7 games: 6/28, 1 HR","platoon edge; pitcher baseline 13.2% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
694671,Wyatt Langford,TEX,MIA,2026-06-24T16:10:00Z,Scheduled,2,Eury Pérez,691587,R,R,9.31,0.1977,89.79,100.8746,0.4081,0.1694,0.3124,72.89,26.34,40.93,28.92,40.0,10.8,13.2,43.7,89.52,0.4318,0.2085,32.13,11.3,11.3,11.3,loanDepot park,89,84,2,180 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=25.7781&lon=-80.2197,75,3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,28,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 13.2% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
673962,Josh Jung,TEX,MIA,2026-06-24T16:10:00Z,Scheduled,3,Eury Pérez,691587,R,R,6.41,0.1432,89.86,100.2936,0.4301,0.1515,0.3341,70.58,8.14,39.65,21.89,46.49,9.8,13.2,43.7,89.52,0.4318,0.2085,32.13,11.3,11.3,11.3,loanDepot park,89,84,2,180 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=25.7781&lon=-80.2197,75,3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,0,"Last 7 games: 8/29, 0 HR","same-side matchup; pitcher baseline 13.2% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
607043,Brandon Nimmo,TEX,MIA,2026-06-24T16:10:00Z,Scheduled,4,Eury Pérez,691587,R,L,10.55,0.1565,92.25,102.3611,0.4827,0.2034,0.3588,72.44,27.13,30.65,27.8,51.88,12.4,13.2,43.7,89.52,0.4318,0.2085,32.13,11.3,11.3,11.3,loanDepot park,89,84,2,180 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=25.7781&lon=-80.2197,75,3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,30,1,Contact streak: 13/30 over last 7 games,"platoon edge; pitcher baseline 13.2% barrel, 11.3 HR allowed",EV profile; pitcher allows elevated contact,,
669394,Jake Burger,TEX,MIA,2026-06-24T16:10:00Z,Scheduled,5,Eury Pérez,691587,R,R,10.89,0.1879,90.33,102.8707,0.4283,0.1844,0.3149,74.95,53.85,42.23,26.43,47.1,13.9,13.2,43.7,89.52,0.4318,0.2085,32.13,11.3,11.3,11.3,loanDepot park,89,84,2,180 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=25.7781&lon=-80.2197,75,3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,1,"Last 7 games: 7/24, 1 HR","same-side matchup; pitcher baseline 13.2% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
677649,Ezequiel Duran,TEX,MIA,2026-06-24T16:10:00Z,Scheduled,6,Eury Pérez,691587,R,R,4.91,0.1327,88.24,99.1003,0.3475,0.1041,0.2897,72.34,24.9,35.24,19.69,35.87,4.2,13.2,43.7,89.52,0.4318,0.2085,32.13,11.3,11.3,11.3,loanDepot park,89,84,2,180 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=25.7781&lon=-80.2197,75,3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 13.2% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
696030,Alejandro Osuna,TEX,MIA,2026-06-24T16:10:00Z,Scheduled,7,Eury Pérez,691587,R,L,1.8,0.045,88.41,98.867,0.338,0.0738,0.3263,71.9,24.87,27.15,12.85,33.71,0.6,13.2,43.7,89.52,0.4318,0.2085,32.13,11.3,11.3,11.3,loanDepot park,89,84,2,180 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=25.7781&lon=-80.2197,75,3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,0,"Last 7 games: 6/21, 0 HR","platoon edge; pitcher baseline 13.2% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
543309,Kyle Higashioka,TEX,MIA,2026-06-24T16:10:00Z,Scheduled,8,Eury Pérez,691587,R,R,9.72,0.1487,88.13,98.669,0.373,0.1428,0.2978,70.9,11.14,43.19,28.11,37.21,6.8,13.2,43.7,89.52,0.4318,0.2085,32.13,11.3,11.3,11.3,loanDepot park,89,84,2,180 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=25.7781&lon=-80.2197,75,3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,1,"Last 7 games: 4/19, 1 HR","same-side matchup; pitcher baseline 13.2% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
670032,Nicky Lopez,TEX,MIA,2026-06-24T16:10:00Z,Scheduled,9,Eury Pérez,691587,R,L,0.0,0.0427,84.45,95.6831,0.2718,0.0461,0.254,66.93,0.75,31.91,13.75,29.22,0.7,13.2,43.7,89.52,0.4318,0.2085,32.13,11.3,11.3,11.3,loanDepot park,89,84,2,180 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=25.7781&lon=-80.2197,75,3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,18,0,Contact streak: 6/18 over last 7 games,"platoon edge; pitcher baseline 13.2% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
805300,Jakob Marsee,MIA,TEX,2026-06-24T16:10:00Z,Scheduled,1,Jacob deGrom,594798,R,L,4.95,0.1293,87.29,98.6355,0.3524,0.1141,0.3169,70.43,6.14,40.25,23.05,37.2,4.3,9.3,43.37,90.52,0.4057,0.1756,31.35,18.3,18.3,18.3,loanDepot park,89,84,2,180 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=25.7781&lon=-80.2197,75,3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","platoon edge; pitcher baseline 9.3% barrel, 18.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
