rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,701762,Nick Kurtz,ATH,PIT,2026-06-17T01:40:00Z,Warmup,1,Mitch Keller,656605,R,70.9,Tier 2,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",77.4,37.7,73.9,93.2,80.0,100.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,28,6,Hot streak: 6 HR in last 7 games,"platoon edge; pitcher baseline 7.1% barrel, 10.5 HR allowed",EV profile; pitcher fly-ball pressure modest,18.29,55.65,93.75,105.5504,0.5265,0.271,0.3916,77.9,78.3,33.48,30.84,23.4,0.2877,7.1,41.07,88.91,0.4293,0.1514,22.02,Out To RF,84,Sutter Health Park,
2,545361,Mike Trout,LAA,AZ,2026-06-17T01:40:00Z,Warmup,2,Merrill Kelly,518876,R,69.0,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",73.7,70.5,42.7,100.0,50.0,57.6,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 13.3% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,19.51,50.98,91.25,103.667,0.53,0.2796,0.3944,74.77,48.92,39.17,34.15,19.0,0.2224,13.29,43.5,90.06,0.5311,0.2419,28.04,None,74,Chase Field,
3,660271,Shohei Ohtani,LAD,TB,2026-06-17T02:10:00Z,Pre-Game,1,Drew Rasmussen,656876,R,66.7,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",80.9,26.0,63.6,93.2,80.0,79.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.7% barrel, 11.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.88,54.92,93.99,104.1655,0.5881,0.2987,0.4215,74.96,52.17,49.5,33.53,26.3,0.2714,6.65,35.11,87.8,0.3533,0.1229,20.93,Out To RF,72,UNIQLO Field at Dodger Stadium,
4,624413,Pete Alonso,BAL,SEA,2026-06-17T01:40:00Z,Warmup,4,Logan Gilbert,669302,R,64.4,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",71.0,54.7,37.4,94.9,50.0,88.9,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 10.7% barrel, 15.1 HR allowed",EV profile; pitcher fly-ball pressure modest,14.35,55.66,94.55,104.0099,0.5419,0.2668,0.3797,74.88,49.69,36.15,30.95,22.6,0.2296,10.7,44.57,90.8,0.4069,0.1715,28.96,In From LF,74,T-Mobile Park,
5,686527,Dominic Canzone,SEA,BAL,2026-06-17T01:40:00Z,Warmup,4,Brandon Young,687064,R,62.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",66.1,46.6,37.4,94.9,80.0,75.8,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,21,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 7.8 HR allowed",EV profile; pitcher fly-ball pressure modest,15.83,49.35,92.93,103.5363,0.5442,0.25,0.3858,74.15,42.58,38.92,27.28,10.3,0.2454,8.66,43.32,89.68,0.432,0.1798,26.59,In From LF,74,T-Mobile Park,
6,669127,Shea Langeliers,ATH,PIT,2026-06-17T01:40:00Z,Warmup,2,Mitch Keller,656605,R,61.0,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",58.9,37.7,73.9,100.0,50.0,58.4,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,34,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.1% barrel, 10.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.82,44.41,91.46,102.6947,0.5141,0.2421,0.3616,74.78,49.33,39.67,31.17,21.9,0.2562,7.1,41.07,88.91,0.4293,0.1514,22.02,Out To RF,84,Sutter Health Park,
7,691016,Tyler Soderstrom,ATH,PIT,2026-06-17T01:40:00Z,Warmup,3,Mitch Keller,656605,R,61.0,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",46.8,37.7,73.9,96.6,80.0,94.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.1% barrel, 10.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.05,46.16,90.41,101.8636,0.4346,0.1848,0.3347,74.21,41.75,35.93,27.84,15.9,0.2218,7.1,41.07,88.91,0.4293,0.1514,22.02,Out To RF,84,Sutter Health Park,
8,691406,Junior Caminero,TB,LAD,2026-06-17T02:10:00Z,Pre-Game,4,Justin Wrobleski,680736,L,61.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",59.3,40.2,63.6,94.9,78.0,39.2,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","platoon edge; pitcher baseline 6.6% barrel, 6.0 HR allowed",EV profile; pitcher fly-ball pressure modest,12.88,50.42,92.68,105.1951,0.4779,0.2124,0.3572,79.48,86.98,42.86,22.02,24.0,0.2332,6.6,44.23,90.6,0.4094,0.1521,28.21,Out To RF,72,UNIQLO Field at Dodger Stadium,
9,666176,Jo Adell,LAA,AZ,2026-06-17T01:40:00Z,Warmup,4,Merrill Kelly,518876,R,60.6,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",53.2,70.5,42.7,94.9,50.0,38.9,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,29,0,Contact streak: 11/29 over last 7 games,"same-side matchup; pitcher baseline 13.3% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.07,47.06,90.86,102.9054,0.4853,0.2155,0.3461,77.46,71.3,38.14,27.0,18.1,0.1755,13.29,43.5,90.06,0.5311,0.2419,28.04,None,74,Chase Field,
10,571970,Max Muncy,LAD,TB,2026-06-17T02:10:00Z,Pre-Game,5,Drew Rasmussen,656876,R,59.9,Longshot,Watch List,"Strong Barrel, Platoon Edge, Hot Hitter/Streak",63.7,26.0,63.6,86.4,80.0,75.8,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,21,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.63,49.12,90.74,102.0493,0.5278,0.2674,0.3873,71.34,12.54,53.53,34.39,16.9,0.2508,6.65,35.11,87.8,0.3533,0.1229,20.93,Out To RF,72,UNIQLO Field at Dodger Stadium,
11,664040,Brandon Lowe,PIT,ATH,2026-06-17T01:40:00Z,Warmup,2,Jack Perkins,678022,R,58.8,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",52.5,29.9,73.9,100.0,80.0,39.4,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.1% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.16,44.43,90.33,101.3936,0.4731,0.2268,0.3427,73.55,38.51,45.32,33.34,21.2,0.2532,7.08,34.97,88.43,0.3559,0.1307,31.58,Out To RF,84,Sutter Health Park,
12,687263,Zach Neto,LAA,AZ,2026-06-17T01:40:00Z,Warmup,1,Merrill Kelly,518876,R,56.9,Longshot,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",45.6,70.5,42.7,93.2,50.0,20.3,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,30,1,"Last 7 games: 4/30, 1 HR","same-side matchup; pitcher baseline 13.3% barrel, 16.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.18,39.6,89.95,99.6096,0.418,0.2048,0.3181,70.84,10.08,49.16,35.31,16.9,0.2044,13.29,43.5,90.06,0.5311,0.2419,28.04,None,74,Chase Field,
13,668804,Bryan Reynolds,PIT,ATH,2026-06-17T01:40:00Z,Warmup,3,Jack Perkins,678022,R,56.5,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",44.3,29.5,73.9,96.6,75.0,68.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 7.1% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.89,45.58,91.13,102.1138,0.4463,0.1855,0.3604,72.69,29.07,41.2,23.29,10.4,0.1661,7.08,34.97,88.43,0.3559,0.1307,31.58,Out To RF,84,Sutter Health Park,
14,666018,Jonathan Aranda,TB,LAD,2026-06-17T02:10:00Z,Pre-Game,3,Justin Wrobleski,680736,L,56.3,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",53.1,40.2,63.6,96.6,50.0,30.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,0,Contact streak: 9/28 over last 7 games,"same-side matchup; pitcher baseline 6.6% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.41,48.62,91.53,101.5275,0.4877,0.2128,0.3771,70.36,13.42,31.38,30.27,11.9,0.1744,6.6,44.23,90.6,0.4094,0.1521,28.21,Out To RF,72,UNIQLO Field at Dodger Stadium,
15,694212,Samuel Basallo,BAL,SEA,2026-06-17T01:40:00Z,Warmup,5,Logan Gilbert,669302,R,55.9,Longshot,Watch List,"Strong Barrel, Platoon Edge",51.0,54.7,37.4,86.4,80.0,21.8,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,21,1,"Last 7 games: 3/21, 1 HR","platoon edge; pitcher baseline 10.7% barrel, 15.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.7,46.15,91.06,103.2259,0.4478,0.2015,0.3267,75.15,53.5,41.97,29.26,8.2,0.1972,10.7,44.57,90.8,0.4069,0.1715,28.96,In From LF,74,T-Mobile Park,
16,683002,Gunnar Henderson,BAL,SEA,2026-06-17T01:40:00Z,Warmup,2,Logan Gilbert,669302,R,55.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",39.7,54.7,37.4,100.0,80.0,44.1,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,1,"Last 7 games: 7/24, 1 HR","platoon edge; pitcher baseline 10.7% barrel, 15.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.6,46.26,90.14,101.2936,0.4075,0.1588,0.32,74.74,47.87,41.85,23.8,14.9,0.1829,10.7,44.57,90.8,0.4069,0.1715,28.96,In From LF,74,T-Mobile Park,
17,650490,Yandy Díaz,TB,LAD,2026-06-17T02:10:00Z,Pre-Game,1,Justin Wrobleski,680736,L,55.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",42.8,40.2,63.6,93.2,78.0,33.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","platoon edge; pitcher baseline 6.6% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.23,47.39,91.32,102.9973,0.4604,0.1733,0.3628,73.74,37.96,21.15,22.17,15.9,0.189,6.6,44.23,90.6,0.4094,0.1521,28.21,Out To RF,72,UNIQLO Field at Dodger Stadium,
18,663728,Cal Raleigh,SEA,BAL,2026-06-17T01:40:00Z,Warmup,2,Brandon Young,687064,R,55.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",53.5,45.7,37.4,100.0,75.0,0.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,28,0,"Last 7 games: 2/28, 0 HR","switch hitter; pitcher baseline 8.7% barrel, 7.8 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,14.46,36.65,88.64,100.0595,0.435,0.2397,0.3136,74.85,50.22,51.98,45.58,22.9,0.2118,8.66,43.32,89.68,0.432,0.1798,26.59,In From LF,74,T-Mobile Park,
19,682998,Corbin Carroll,AZ,LAA,2026-06-17T01:40:00Z,Warmup,3,Reid Detmers,672282,L,54.8,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",60.4,33.1,42.7,96.6,50.0,50.8,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.6% barrel, 6.7 HR allowed",EV profile; pitcher fly-ball pressure modest,13.52,49.62,92.03,102.7138,0.5024,0.2334,0.3706,75.26,55.96,44.29,29.34,17.7,0.268,7.64,38.46,89.54,0.3364,0.1243,28.48,None,74,Chase Field,
20,682848,Endy Rodríguez,PIT,ATH,2026-06-17T01:40:00Z,Warmup,6,Jack Perkins,678022,R,54.8,Longshot,Watch List,"Strong Barrel, Good Environment, Platoon Edge, Hot Hitter/Streak",46.9,29.5,73.9,76.2,75.0,74.9,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,16,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 7.1% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.28,43.16,91.85,99.7867,0.4132,0.1806,0.3449,72.06,19.68,42.22,34.76,2.1,0.1729,7.08,34.97,88.43,0.3559,0.1307,31.58,Out To RF,84,Sutter Health Park,
21,518692,Freddie Freeman,LAD,TB,2026-06-17T02:10:00Z,Pre-Game,3,Drew Rasmussen,656876,R,54.5,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",49.3,26.0,63.6,96.6,80.0,34.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,1,"Last 7 games: 6/26, 1 HR","platoon edge; pitcher baseline 6.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.52,45.63,90.83,100.9377,0.4901,0.2126,0.3703,70.11,7.84,35.91,29.03,14.9,0.2,6.65,35.11,87.8,0.3533,0.1229,20.93,Out To RF,72,UNIQLO Field at Dodger Stadium,
22,668939,Adley Rutschman,BAL,SEA,2026-06-17T01:40:00Z,Warmup,3,Logan Gilbert,669302,R,54.4,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",40.7,53.0,37.4,96.6,75.0,46.5,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,1,"Last 7 games: 8/26, 1 HR","switch hitter; pitcher baseline 10.7% barrel, 15.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.83,44.2,89.82,100.1223,0.4541,0.1816,0.3551,70.8,13.95,39.1,29.71,8.3,0.195,10.7,44.57,90.8,0.4069,0.1715,28.96,In From LF,74,T-Mobile Park,
23,668723,Ryan Vilade,TB,LAD,2026-06-17T02:10:00Z,Pre-Game,5,Justin Wrobleski,680736,L,54.0,Longshot,Watch List,Platoon Edge,38.9,40.2,63.6,86.4,78.0,56.6,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,1,Contact streak: 9/24 over last 7 games,"platoon edge; pitcher baseline 6.6% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.9,48.75,91.56,101.9842,0.3858,0.1429,0.3125,75.52,53.97,22.05,24.96,2.8,0.1246,6.6,44.23,90.6,0.4094,0.1521,28.21,Out To RF,72,UNIQLO Field at Dodger Stadium,
24,606466,Ketel Marte,AZ,LAA,2026-06-17T01:40:00Z,Warmup,1,Reid Detmers,672282,L,52.7,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",52.0,32.4,42.7,93.2,75.0,30.4,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,31,0,Contact streak: 10/31 over last 7 games,"switch hitter; pitcher baseline 7.6% barrel, 6.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.33,45.67,90.94,102.919,0.5137,0.2168,0.376,74.53,44.66,50.52,25.61,16.1,0.1997,7.64,38.46,89.54,0.3364,0.1243,28.48,None,74,Chase Field,
25,666126,Carlos Cortes,ATH,PIT,2026-06-17T01:40:00Z,Warmup,5,Mitch Keller,656605,R,52.6,Longshot,Watch List,"Good Environment, Platoon Edge",37.2,37.7,73.9,86.4,80.0,18.3,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,19,1,"Last 7 games: 2/19, 1 HR","platoon edge; pitcher baseline 7.1% barrel, 10.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.92,41.41,89.87,100.1818,0.4535,0.1693,0.3518,70.68,13.62,29.85,22.24,5.4,0.1899,7.1,41.07,88.91,0.4293,0.1514,22.02,Out To RF,84,Sutter Health Park,
26,681351,Logan O'Hoppe,LAA,AZ,2026-06-17T01:40:00Z,Warmup,8,Merrill Kelly,518876,R,52.0,Longshot,Watch List,"Strong Barrel, Pitcher Vulnerable",41.5,70.5,42.7,52.4,50.0,63.3,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,19,1,Contact streak: 8/19 over last 7 games,"same-side matchup; pitcher baseline 13.3% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.74,41.58,88.45,100.1558,0.3788,0.1697,0.2905,72.07,23.41,44.52,30.82,7.8,0.123,13.29,43.5,90.06,0.5311,0.2419,28.04,None,74,Chase Field,
