rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,sheet_score,sheet_carry_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds,sheet_barrel_pct,sheet_iso,sheet_ev,sheet_pm_hr,sheet_pm_pa,sheet_pa_pct,sheet_hr_env,sheet_pitcher_split_barrel,sheet_pitcher_split_hr,sheet_note
1,571970,Max Muncy,LAD,KC,2026-09-10T02:10:00Z,Pre-Game,4,Rhett Lowder,695076,R,64.1,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",55.9,51.3,76.1,94.9,80.0,27.0,66.5,100.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,20,0,"Last 7 games: 6/20, 0 HR","platoon edge; pitcher baseline 9.5% barrel, 16.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.18,47.93,90.67,101.3337,0.4767,0.2359,0.3572,71.31,14.48,52.06,35.44,23.9,0.2354,9.5,38.3,90.0,0.458,0.19,28.8,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,35,1,96,UNIQLO Field at Dodger Stadium,,19.2,0.333,92,4,39,57.1,19,8.85,4,Dodger +19; elite sheet line vs Cameron LHH split
2,682829,Elly De La Cruz,CIN,LAD,2026-09-10T02:10:00Z,Pre-Game,2,Yoshinobu Yamamoto,808967,R,62.3,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",58.9,25.7,76.1,100.0,75.0,100.0,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,14,28,4,Hot streak: 4 HR in last 7 games,"switch hitter; pitcher baseline 6.3% barrel, 16.8 HR allowed",EV profile; pitcher fly-ball pressure modest,13.94,50.08,93.38,104.4218,0.4737,0.2017,0.3563,75.45,54.4,34.26,24.75,24.1,0.2089,6.26,37.74,88.16,0.3299,0.1193,23.08,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,35,1,96,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
3,669257,Will Smith,LAD,CIN,2026-09-10T02:10:00Z,Pre-Game,2,Rhett Lowder,695076,R,59.8,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",51.2,51.3,76.1,100.0,50.0,20.3,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,15,1,"Last 7 games: 2/15, 1 HR","same-side matchup; pitcher baseline 9.5% barrel, 16.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.48,42.34,90.32,100.2475,0.4897,0.2207,0.3787,69.91,6.94,31.37,39.22,10.0,0.1583,9.5,38.3,90.0,0.458,0.19,28.8,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,35,1,96,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
4,606192,Teoscar Hernández,LAD,CIN,2026-09-10T02:10:00Z,Pre-Game,5,Rhett Lowder,695076,R,58.4,Longshot,Watch List,"Strong Barrel, Good Environment",45.8,51.3,76.1,86.4,50.0,63.3,50.0,,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,24,1,Contact streak: 13/24 over last 7 games,"same-side matchup; pitcher baseline 9.5% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.94,45.33,90.27,101.6079,0.442,0.1871,0.3296,72.55,26.32,35.34,28.96,16.6,0.172,9.5,38.3,90.0,0.458,0.19,28.8,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,35,1,96,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
5,701398,Sal Stewart,CIN,LAD,2026-09-10T02:10:00Z,Pre-Game,3,Yoshinobu Yamamoto,808967,R,56.5,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",60.1,27.5,76.1,96.6,50.0,16.6,50.0,,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,0,"Last 7 games: 6/26, 0 HR","same-side matchup; pitcher baseline 6.3% barrel, 16.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.54,43.33,91.76,101.4057,0.525,0.2575,0.3653,72.1,26.51,37.87,32.65,23.2,0.2361,6.26,37.74,88.16,0.3299,0.1193,23.08,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,35,1,96,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
6,605141,Mookie Betts,LAD,CIN,2026-09-10T02:10:00Z,Pre-Game,3,Rhett Lowder,695076,R,55.7,Longshot,Watch List,"Good Environment, Premium Lineup Spot",31.7,51.3,76.1,96.6,50.0,68.7,50.0,,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.5% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.83,37.34,89.8,98.4084,0.4234,0.1518,0.3307,69.46,8.39,39.82,33.52,18.6,0.1676,9.5,38.3,90.0,0.458,0.19,28.8,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,35,1,96,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
7,669242,Tommy Edman,LAD,CIN,2026-09-10T02:10:00Z,Pre-Game,1,Rhett Lowder,695076,R,52.6,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",22.2,49.6,76.1,93.2,75.0,41.7,50.0,,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,1,"Last 7 games: 8/29, 1 HR","switch hitter; pitcher baseline 9.5% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.13,36.54,88.02,99.1242,0.3788,0.1174,0.3161,70.66,13.44,43.02,26.99,8.1,0.1444,9.5,38.3,90.0,0.458,0.19,28.8,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,35,1,96,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
8,668709,JJ Bleday,CIN,LAD,2026-09-10T02:10:00Z,Pre-Game,4,Yoshinobu Yamamoto,808967,R,52.3,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",37.5,27.5,76.1,94.9,80.0,29.2,50.0,,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","platoon edge; pitcher baseline 6.3% barrel, 16.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.41,39.26,88.42,99.7995,0.401,0.1739,0.3229,73.0,27.09,46.86,32.99,19.6,0.2011,6.26,37.74,88.16,0.3299,0.1193,23.08,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,35,1,96,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
9,663656,Kyle Tucker,LAD,KC,2026-09-10T02:10:00Z,Pre-Game,6,Rhett Lowder,695076,R,51.7,Longshot,Watch List,"Good Environment, Platoon Edge",31.9,51.3,76.1,76.2,80.0,18.3,27.1,57.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,21,1,"Last 7 games: 2/21, 1 HR","platoon edge; pitcher baseline 9.5% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.02,37.81,89.05,98.7356,0.4081,0.1514,0.3384,71.58,20.66,43.03,33.33,15.0,0.1497,9.5,38.3,90.0,0.458,0.19,28.8,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,35,1,96,UNIQLO Field at Dodger Stadium,,11.1,0.152,90,1,66,30.8,19,8.85,4,Park/split help but hitter sheet not loud
10,699115,Carlos Jorge,CIN,LAD,2026-09-10T02:10:00Z,Pre-Game,1,Yoshinobu Yamamoto,808967,R,49.7,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",32.2,27.5,76.1,93.2,80.0,15.3,50.0,,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,4,2,9,0,"Last 4 games: 2/9, 0 HR","platoon edge; pitcher baseline 6.3% barrel, 16.8 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,14.3,28.6,82.8,94.3544,0.388,0.167,0.26,66.9,0.0,57.1,42.9,0.0,0.0,6.26,37.74,88.16,0.3299,0.1193,23.08,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,35,1,96,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
11,676439,Hunter Feduccia,LAD,CIN,2026-09-10T02:10:00Z,Pre-Game,7,Rhett Lowder,695076,R,49.6,Longshot,Watch List,"Good Environment, Platoon Edge",29.4,51.3,76.1,64.3,80.0,3.4,50.0,,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,14,0,"Last 7 games: 2/14, 0 HR","platoon edge; pitcher baseline 9.5% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.41,37.63,89.49,98.9651,0.3545,0.1255,0.3037,70.78,12.77,33.01,27.59,2.1,0.0892,9.5,38.3,90.0,0.458,0.19,28.8,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,35,1,96,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
