rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,660271,Shohei Ohtani,LAD,TB,2026-06-17T02:10:00Z,Warmup,1,Drew Rasmussen,656876,R,66.7,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",80.9,26.0,63.6,93.2,80.0,79.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.7% barrel, 11.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.88,54.92,93.99,104.1655,0.5881,0.2987,0.4215,74.96,52.17,49.5,33.53,26.3,0.2714,6.65,35.11,87.8,0.3533,0.1229,20.93,Out To RF,72,UNIQLO Field at Dodger Stadium,
2,691406,Junior Caminero,TB,LAD,2026-06-17T02:10:00Z,Warmup,4,Justin Wrobleski,680736,L,61.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",59.3,40.2,63.6,94.9,78.0,39.2,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","platoon edge; pitcher baseline 6.6% barrel, 6.0 HR allowed",EV profile; pitcher fly-ball pressure modest,12.88,50.42,92.68,105.1951,0.4779,0.2124,0.3572,79.48,86.98,42.86,22.02,24.0,0.2332,6.6,44.23,90.6,0.4094,0.1521,28.21,Out To RF,72,UNIQLO Field at Dodger Stadium,
3,571970,Max Muncy,LAD,TB,2026-06-17T02:10:00Z,Warmup,5,Drew Rasmussen,656876,R,59.9,Longshot,Watch List,"Strong Barrel, Platoon Edge, Hot Hitter/Streak",63.7,26.0,63.6,86.4,80.0,75.8,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,21,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.63,49.12,90.74,102.0493,0.5278,0.2674,0.3873,71.34,12.54,53.53,34.39,16.9,0.2508,6.65,35.11,87.8,0.3533,0.1229,20.93,Out To RF,72,UNIQLO Field at Dodger Stadium,
4,666018,Jonathan Aranda,TB,LAD,2026-06-17T02:10:00Z,Warmup,3,Justin Wrobleski,680736,L,56.3,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",53.1,40.2,63.6,96.6,50.0,30.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,0,Contact streak: 9/28 over last 7 games,"same-side matchup; pitcher baseline 6.6% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.41,48.62,91.53,101.5275,0.4877,0.2128,0.3771,70.36,13.42,31.38,30.27,11.9,0.1744,6.6,44.23,90.6,0.4094,0.1521,28.21,Out To RF,72,UNIQLO Field at Dodger Stadium,
5,650490,Yandy Díaz,TB,LAD,2026-06-17T02:10:00Z,Warmup,1,Justin Wrobleski,680736,L,55.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",42.8,40.2,63.6,93.2,78.0,33.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","platoon edge; pitcher baseline 6.6% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.23,47.39,91.32,102.9973,0.4604,0.1733,0.3628,73.74,37.96,21.15,22.17,15.9,0.189,6.6,44.23,90.6,0.4094,0.1521,28.21,Out To RF,72,UNIQLO Field at Dodger Stadium,
6,518692,Freddie Freeman,LAD,TB,2026-06-17T02:10:00Z,Warmup,3,Drew Rasmussen,656876,R,54.5,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",49.3,26.0,63.6,96.6,80.0,34.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,1,"Last 7 games: 6/26, 1 HR","platoon edge; pitcher baseline 6.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.52,45.63,90.83,100.9377,0.4901,0.2126,0.3703,70.11,7.84,35.91,29.03,14.9,0.2,6.65,35.11,87.8,0.3533,0.1229,20.93,Out To RF,72,UNIQLO Field at Dodger Stadium,
7,668723,Ryan Vilade,TB,LAD,2026-06-17T02:10:00Z,Warmup,5,Justin Wrobleski,680736,L,54.0,Longshot,Watch List,Platoon Edge,38.9,40.2,63.6,86.4,78.0,56.6,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,1,Contact streak: 9/24 over last 7 games,"platoon edge; pitcher baseline 6.6% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.9,48.75,91.56,101.9842,0.3858,0.1429,0.3125,75.52,53.97,22.05,24.96,2.8,0.1246,6.6,44.23,90.6,0.4094,0.1521,28.21,Out To RF,72,UNIQLO Field at Dodger Stadium,
8,681624,Andy Pages,LAD,TB,2026-06-17T02:10:00Z,Warmup,2,Drew Rasmussen,656876,R,49.4,Longshot,Watch List,Premium Lineup Spot,42.1,26.0,63.6,100.0,50.0,23.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,32,1,"Last 7 games: 5/32, 1 HR","same-side matchup; pitcher baseline 6.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.1,44.41,89.44,100.5095,0.456,0.1868,0.3335,72.81,24.72,36.36,28.93,18.6,0.2121,6.65,35.11,87.8,0.3533,0.1229,20.93,Out To RF,72,UNIQLO Field at Dodger Stadium,
9,669899,Ryan Ward,LAD,TB,2026-06-17T02:10:00Z,Warmup,7,Drew Rasmussen,656876,R,48.0,Longshot,Watch List,"Strong Barrel, Platoon Edge",43.4,26.0,63.6,64.3,80.0,33.7,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,1,"Last 7 games: 4/18, 1 HR","platoon edge; pitcher baseline 6.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.1,33.3,89.4,99.8843,0.504,0.227,0.357,71.7,7.4,48.1,25.9,3.0,0.325,6.65,35.11,87.8,0.3533,0.1229,20.93,Out To RF,72,UNIQLO Field at Dodger Stadium,
10,605141,Mookie Betts,LAD,TB,2026-06-17T02:10:00Z,Warmup,4,Drew Rasmussen,656876,R,47.4,Longshot,Watch List,Premium Lineup Spot,35.2,26.0,63.6,94.9,50.0,43.9,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,31,1,"Last 7 games: 9/31, 1 HR","same-side matchup; pitcher baseline 6.7% barrel, 11.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,8.02,36.71,89.8,98.4255,0.4339,0.1651,0.3314,69.35,8.0,40.45,37.37,10.9,0.1648,6.65,35.11,87.8,0.3533,0.1229,20.93,Out To RF,72,UNIQLO Field at Dodger Stadium,
