rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,656941,Kyle Schwarber,PHI,MIA,2026-06-17T17:05:00Z,Pre-Game,2,Sandy Alcantara,645261,R,71.7,Tier 2,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",81.6,37.6,73.8,100.0,80.0,70.6,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.2% barrel, 15.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.94,53.3,93.39,104.3166,0.5432,0.3001,0.3863,77.09,75.98,55.82,35.56,34.3,0.3244,7.2,39.75,89.23,0.401,0.1407,24.94,Out To LF,81,Citizens Bank Park,
2,665742,Juan Soto,NYM,CIN,2026-06-17T16:40:00Z,Pre-Game,3,Nick Lodolo,666157,L,68.6,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",75.6,51.7,62.3,96.6,50.0,77.4,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,23,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.8% barrel, 12.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.59,51.17,93.31,103.2729,0.6087,0.3161,0.4213,72.69,31.59,38.55,33.1,23.4,0.2606,9.81,40.01,89.36,0.4601,0.2002,28.29,R To L,77,Great American Ball Park,
3,695578,James Wood,WSH,KC,2026-06-17T17:05:00Z,Pre-Game,1,Luinder Avila,679883,R,68.5,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",85.5,23.0,67.7,88.7,80.0,100.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.9% barrel, 2.8 HR allowed",EV profile; pitcher fly-ball pressure modest,21.86,57.63,95.21,106.5262,0.5847,0.31,0.4114,76.28,64.31,28.51,27.53,23.3,0.2575,6.89,31.92,87.39,0.3466,0.1319,22.26,Out To LF,81,Nationals Park,
4,695506,Jac Caglianone,KC,WSH,2026-06-17T17:05:00Z,Pre-Game,3,Zack Littell,641793,R,68.1,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",58.5,68.4,67.7,96.6,80.0,30.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,0,Contact streak: 9/28 over last 7 games,"platoon edge; pitcher baseline 10.7% barrel, 22.0 HR allowed",EV profile; pitcher allows elevated contact,13.82,52.62,92.27,105.137,0.4611,0.2017,0.3455,76.98,71.89,39.94,22.75,7.7,0.1583,10.74,44.19,91.81,0.514,0.2348,34.03,Out To LF,81,Nationals Park,
5,677951,Bobby Witt Jr.,KC,WSH,2026-06-17T17:05:00Z,Pre-Game,2,Zack Littell,641793,R,66.3,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",57.7,68.4,67.7,100.0,50.0,44.1,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,29,0,Contact streak: 12/29 over last 7 games,"same-side matchup; pitcher baseline 10.7% barrel, 22.0 HR allowed",EV profile; pitcher allows elevated contact,12.15,51.02,93.23,103.6798,0.5122,0.2101,0.3804,73.81,41.0,28.98,26.92,13.2,0.1766,10.74,44.19,91.81,0.514,0.2348,34.03,Out To LF,81,Nationals Park,
6,695600,Carter Jensen,KC,WSH,2026-06-17T17:05:00Z,Pre-Game,1,Zack Littell,641793,R,65.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",52.0,68.4,67.7,93.2,80.0,24.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,0,"Last 7 games: 8/28, 0 HR","platoon edge; pitcher baseline 10.7% barrel, 22.0 HR allowed",EV profile; pitcher allows elevated contact,12.61,47.31,92.11,103.0059,0.4286,0.1871,0.3252,74.41,41.27,40.09,28.95,6.5,0.1912,10.74,44.19,91.81,0.514,0.2348,34.03,Out To LF,81,Nationals Park,
7,670541,Yordan Alvarez,HOU,DET,2026-06-17T18:10:00Z,Scheduled,2,Casey Mize,663554,R,64.2,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",84.0,32.0,27.6,95.5,80.0,81.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.9% barrel, 7.7 HR allowed",lift-pull EV profile; pitcher allows elevated contact,16.81,53.46,94.49,105.2421,0.6722,0.3441,0.4581,75.96,60.13,41.51,35.61,18.6,0.2697,7.87,36.06,87.76,0.3483,0.1364,30.39,,,Daikin Park,
8,545361,Mike Trout,LAA,AZ,2026-06-17T19:40:00Z,Scheduled,2,Eduardo Rodriguez,593958,L,63.4,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",74.6,41.4,28.2,95.5,78.0,85.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.2% barrel, 13.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,19.65,51.19,91.39,103.7826,0.5349,0.2831,0.3958,74.77,48.99,39.1,34.5,19.7,0.2301,8.2,35.83,88.34,0.4419,0.1797,26.42,,,Chase Field,
9,641343,Jake Bauers,MIL,CLE,2026-06-17T23:40:00Z,Scheduled,5,Gavin Williams,668909,R,61.1,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge, Hot Hitter/Streak",61.1,60.5,27.6,81.9,80.0,72.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 11.7% barrel, 16.0 HR allowed",EV profile; pitcher fly-ball pressure modest,13.77,52.32,92.33,103.3812,0.4703,0.2195,0.3596,76.85,74.2,39.01,28.65,11.2,0.2172,11.73,47.31,90.89,0.4344,0.1943,24.18,,,American Family Field,
10,805811,Bryce Eldridge,SF,ATL,2026-06-17T23:15:00Z,Scheduled,3,JR Ritchie,702275,R,60.8,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",74.4,27.9,30.9,92.1,80.0,97.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 4.7% barrel, 4.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.25,60.89,93.08,103.5125,0.538,0.2701,0.3923,72.9,27.6,41.0,38.66,3.5,0.1833,4.7,40.0,89.3,0.375,0.142,25.9,,,Truist Park,
11,694192,Jackson Chourio,MIL,CLE,2026-06-17T23:40:00Z,Scheduled,2,Gavin Williams,668909,R,60.6,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",58.2,60.5,27.6,95.5,50.0,97.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,32,5,Hot streak: 5 HR in last 7 games,"same-side matchup; pitcher baseline 11.7% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.97,46.43,91.33,102.422,0.4918,0.2308,0.3434,74.6,49.1,29.19,30.81,12.6,0.2294,11.73,47.31,90.89,0.4344,0.1943,24.18,,,American Family Field,
