rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds
1,621566,Matt Olson,ATL,WSH,2026-08-01T23:15:00Z,Warmup,3,Miles Mikolas,571945,R,66.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",65.6,59.1,53.4,96.6,80.0,46.4,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 24.8 HR allowed",EV profile; pitcher fly-ball pressure modest,14.47,51.34,92.88,103.9131,0.5032,0.2566,0.3579,74.6,47.89,37.79,32.78,29.0,0.2498,10.11,42.01,89.72,0.4997,0.2193,28.07,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.8907&lon=-84.4677,55,0,82,Truist Park,
2,660271,Shohei Ohtani,LAD,BOS,2026-08-02T01:10:00Z,Pre-Game,1,Payton Tolle,801139,L,66.1,Tier 3,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Hot Hitter/Streak",82.6,29.6,71.1,93.2,50.0,70.4,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.9% barrel, 9.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.88,55.41,94.13,104.4942,0.6035,0.312,0.4173,75.03,52.94,47.12,32.83,33.3,0.2798,6.89,35.01,87.87,0.3595,0.1394,27.88,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,53,0,85,UNIQLO Field at Dodger Stadium,
3,695578,James Wood,WSH,ATL,2026-08-01T23:15:00Z,Warmup,1,Martín Pérez,527048,L,66.0,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",82.6,42.8,53.4,93.2,50.0,57.6,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.0% barrel, 9.5 HR allowed",EV profile; pitcher fly-ball pressure modest,19.69,57.63,94.93,106.2524,0.563,0.2911,0.4037,76.63,66.92,31.66,25.92,30.3,0.2596,8.98,38.49,88.34,0.4325,0.1744,25.67,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.8907&lon=-84.4677,55,0,82,Truist Park,
4,571771,Enrique Hernández,LAD,BOS,2026-08-02T01:10:00Z,Pre-Game,5,Payton Tolle,801139,L,65.6,Tier 3,Watch List,"Elite Power, Strong Barrel, Good Environment, Platoon Edge",77.4,29.6,71.1,86.4,78.0,63.3,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,4,5,9,1,Contact streak: 5/9 over last 4 games,"platoon edge; pitcher baseline 6.9% barrel, 9.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,20.35,55.03,91.7,102.4278,0.6481,0.3151,0.4235,70.4,10.04,30.22,18.47,3.7,0.4374,6.89,35.01,87.87,0.3595,0.1394,27.88,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,53,0,85,UNIQLO Field at Dodger Stadium,
5,670231,John Rave,KC,COL,2026-08-02T00:10:00Z,Pre-Game,8,Ryan Feltner,663372,R,64.5,Tier 3,Watch List,"Elite Power, Strong Barrel, Good Environment, Platoon Edge",79.4,50.7,71.7,52.4,80.0,17.3,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,17,0,"Last 7 games: 4/17, 0 HR","platoon edge; pitcher baseline 9.3% barrel, 11.7 HR allowed",EV profile; pitcher fly-ball pressure modest,22.23,53.16,94.95,102.8934,0.5702,0.2704,0.407,75.16,54.42,49.84,27.93,1.9,0.2958,9.35,40.11,88.95,0.4645,0.2087,28.6,R To L,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,34,8,87,Coors Field,
6,695506,Jac Caglianone,KC,COL,2026-08-02T00:10:00Z,Pre-Game,3,Ryan Feltner,663372,R,64.4,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",59.1,50.7,71.7,96.6,80.0,24.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,1,"Last 7 games: 4/25, 1 HR","platoon edge; pitcher baseline 9.3% barrel, 11.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.82,51.43,91.92,104.8921,0.473,0.215,0.342,77.4,75.39,43.16,22.68,14.0,0.1807,9.35,40.11,88.95,0.4645,0.2087,28.6,R To L,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,34,8,87,Coors Field,
7,656555,Rhys Hoskins,CLE,AZ,2026-08-01T23:15:00Z,Warmup,4,Kohl Drake,684442,L,63.8,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",40.4,87.0,47.6,94.9,78.0,43.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,18,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 17.2% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.98,41.92,89.22,99.7906,0.3512,0.1655,0.3007,71.63,16.57,55.32,31.96,11.3,0.1895,17.2,51.7,90.7,0.622,0.328,48.3,R To L,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=41.4962&lon=-81.6852,69,0,79,Progressive Field,
8,686948,Drake Baldwin,ATL,WSH,2026-08-01T23:15:00Z,Warmup,1,Miles Mikolas,571945,R,63.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",59.0,59.1,53.4,93.2,80.0,26.4,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,0,"Last 7 games: 8/27, 0 HR","platoon edge; pitcher baseline 10.1% barrel, 24.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.59,50.44,91.56,102.3865,0.508,0.229,0.3754,75.02,53.29,31.24,24.55,19.7,0.1971,10.11,42.01,89.72,0.4997,0.2193,28.07,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.8907&lon=-84.4677,55,0,82,Truist Park,
9,805811,Bryce Eldridge,SF,SD,2026-08-02T00:40:00Z,Pre-Game,2,Walker Buehler,621111,R,63.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",71.2,45.0,45.6,100.0,80.0,18.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,26,1,"Last 7 games: 3/26, 1 HR","platoon edge; pitcher baseline 9.0% barrel, 15.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.39,58.16,93.43,103.4323,0.482,0.2526,0.3587,73.07,28.43,41.21,37.33,7.7,0.1588,9.01,40.11,89.44,0.4199,0.1638,23.93,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,73,0,79,Petco Park,
10,545361,Mike Trout,LAA,MIL,2026-08-02T01:38:00Z,Pre-Game,2,Robert Gasser,688107,L,62.8,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",65.0,34.6,70.2,100.0,78.0,30.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,0,Contact streak: 8/25 over last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,16.99,48.11,90.34,103.2506,0.5076,0.2558,0.3846,74.77,49.24,38.82,32.96,20.4,0.2112,7.81,34.6,88.06,0.3876,0.1614,27.94,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.8003&lon=-117.8827,57,0,86,Angel Stadium,
