rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,sheet_score,sheet_carry_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds,sheet_barrel_pct,sheet_iso,sheet_ev,sheet_pm_hr,sheet_pm_pa,sheet_pa_pct,sheet_hr_env,sheet_pitcher_split_barrel,sheet_pitcher_split_hr,sheet_note
1,571970,Max Muncy,LAD,KC,2026-09-20T01:10:00Z,Pre-Game,4,Yunior Marte,805074,R,61.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",56.0,42.1,66.6,94.9,80.0,44.8,66.5,100.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.1% barrel, 2.0 HR allowed",fly-ball profile; pitcher allows elevated contact,13.25,48.0,90.53,101.3245,0.4781,0.238,0.3572,71.31,14.27,51.43,35.65,26.0,0.2389,9.1,40.9,90.1,0.365,0.155,31.8,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,58,0,78,UNIQLO Field at Dodger Stadium,,19.2,0.333,92,4,39,57.1,19,8.85,4,Dodger +19; elite sheet line vs Cameron LHH split
2,800543,Josue De Paula,LAD,SF,2026-09-20T01:10:00Z,Pre-Game,7,Yunior Marte,805074,R,60.2,Tier 3,Watch List,"Strong Barrel, Platoon Edge",68.5,42.1,66.6,64.3,80.0,42.0,50.0,,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,18,1,"Last 7 games: 5/18, 1 HR","platoon edge; pitcher baseline 9.1% barrel, 2.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,15.8,57.9,93.1,100.4157,0.517,0.243,0.435,72.3,24.4,47.4,31.6,1.0,0.238,9.1,40.9,90.1,0.365,0.155,31.8,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,58,0,78,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
3,701538,Jackson Merrill,SD,MIA,2026-09-20T00:40:00Z,Pre-Game,5,Eury Pérez,691587,R,59.4,Longshot,Watch List,"Strong Barrel, Platoon Edge, Hot Hitter/Streak",55.2,47.8,45.6,86.4,80.0,78.7,50.0,,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,30,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.8% barrel, 16.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.79,47.31,91.03,101.2385,0.4956,0.2263,0.3498,72.95,28.03,37.49,30.41,23.0,0.1923,9.84,41.46,89.1,0.3821,0.1679,31.15,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,62,0,75,Petco Park,,,,,,,,,,,
4,665487,Fernando Tatis Jr.,SD,MIA,2026-09-20T00:40:00Z,Pre-Game,1,Eury Pérez,691587,R,59.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",57.7,47.8,45.6,93.2,50.0,83.6,50.0,,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.8% barrel, 16.2 HR allowed",EV profile; pitcher allows elevated contact,12.19,53.2,93.09,104.4834,0.4929,0.2044,0.3749,75.65,58.05,34.73,22.29,23.6,0.1766,9.84,41.46,89.1,0.3821,0.1679,31.15,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,62,0,75,Petco Park,,,,,,,,,,,
5,669065,Kyle Stowers,MIA,SD,2026-09-20T00:40:00Z,Pre-Game,3,Casey Mize,663554,R,58.8,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",63.1,44.6,45.6,96.6,80.0,2.7,50.0,,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,29,0,"Last 7 games: 4/29, 0 HR","platoon edge; pitcher baseline 8.6% barrel, 16.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.55,55.01,91.94,103.2886,0.4628,0.2258,0.34,75.28,54.25,45.29,32.76,20.8,0.2245,8.64,39.98,89.44,0.3938,0.1602,31.09,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,62,0,75,Petco Park,,,,,,,,,,,
6,545361,Mike Trout,LAA,MIN,2026-09-20T01:38:00Z,Pre-Game,2,Joe Ryan,657746,R,58.7,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",59.9,52.7,52.7,100.0,50.0,2.5,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,22,0,"Last 7 games: 3/22, 0 HR","same-side matchup; pitcher baseline 10.6% barrel, 21.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.94,46.71,90.27,102.8627,0.4817,0.2348,0.3713,74.49,46.37,35.67,31.14,22.5,0.1881,10.59,41.62,89.78,0.3977,0.1754,30.03,R To L,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.8003&lon=-117.8827,59,0,78,Angel Stadium,,,,,,,,,,,
7,669257,Will Smith,LAD,SF,2026-09-20T01:10:00Z,Pre-Game,3,Yunior Marte,805074,R,56.5,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",50.1,42.1,66.6,96.6,50.0,39.5,50.0,,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,1,"Last 7 games: 6/23, 1 HR","same-side matchup; pitcher baseline 9.1% barrel, 2.0 HR allowed",fly-ball profile; pitcher allows elevated contact,12.27,42.27,89.76,100.1588,0.489,0.22,0.3794,69.84,6.66,30.53,39.57,10.7,0.1674,9.1,40.9,90.1,0.365,0.155,31.8,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,58,0,78,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
8,687263,Zach Neto,LAA,MIN,2026-09-20T01:38:00Z,Pre-Game,1,Joe Ryan,657746,R,55.5,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",48.1,52.7,52.7,93.2,50.0,30.3,50.0,,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,1,"Last 7 games: 5/25, 1 HR","same-side matchup; pitcher baseline 10.6% barrel, 21.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.18,42.75,90.09,100.324,0.4341,0.2097,0.3216,71.4,15.23,47.27,34.4,26.0,0.2037,10.59,41.62,89.78,0.3977,0.1754,30.03,R To L,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.8003&lon=-117.8827,59,0,78,Angel Stadium,,,,,,,,,,,
9,681715,Heriberto Hernández,MIA,SD,2026-09-20T00:40:00Z,Pre-Game,2,Casey Mize,663554,R,55.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",53.5,44.6,45.6,100.0,50.0,25.5,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,31,0,"Last 7 games: 9/31, 0 HR","same-side matchup; pitcher baseline 8.6% barrel, 16.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.47,46.8,90.9,101.6507,0.4637,0.218,0.3445,74.07,43.92,46.4,30.48,19.8,0.2028,8.64,39.98,89.44,0.3938,0.1602,31.09,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,62,0,75,Petco Park,,,,,,,,,,,
10,518692,Freddie Freeman,LAD,SF,2026-09-20T01:10:00Z,Pre-Game,2,Yunior Marte,805074,R,54.5,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",39.4,42.1,66.6,100.0,80.0,7.9,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,29,0,"Last 7 games: 5/29, 0 HR","platoon edge; pitcher baseline 9.1% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.72,42.41,89.92,100.1423,0.4656,0.1825,0.3612,70.08,7.91,36.4,27.28,18.4,0.1664,9.1,40.9,90.1,0.365,0.155,31.8,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,58,0,78,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
11,592518,Manny Machado,SD,MIA,2026-09-20T00:40:00Z,Pre-Game,3,Eury Pérez,691587,R,54.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",48.3,47.8,45.6,96.6,50.0,40.9,50.0,,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.8% barrel, 16.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.66,46.32,91.08,101.838,0.4453,0.1918,0.3393,74.64,44.79,39.31,28.5,27.7,0.1885,9.84,41.46,89.1,0.3821,0.1679,31.15,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,62,0,75,Petco Park,,,,,,,,,,,
